,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
25,ball_tree,5,2,distance,0.8037542057729768,0.7395124716553289,0.8034660246080632,0.7392948642099794,0.8037542057729768,0.7395124716553289,0.8039693205322983,0.7395831940750673,0.8037811836897338,0.7393879224301173,0.8037542057729768,0.7395124716553289,0.8037542057729768,0.7395124716553289,0.8035668478032392,0.7393313386613025,0.8037542057729768,0.7395124716553289,0.8038051276064948,0.7395377913211604
26,ball_tree,3,3,uniform,0.7712059500619798,0.713718820861678,0.7708887187426583,0.7135202915070252,0.7712059500619798,0.713718820861678,0.7711472121542141,0.713633431891935,0.7706768907544107,0.7131191966771389,0.7712059500619798,0.713718820861678,0.7712059500619798,0.713718820861678,0.7707673842828238,0.7132277029726366,0.7712059500619798,0.713718820861678,0.7711612056990861,0.7135842680153653
27,auto,3,2,distance,0.7946874446608819,0.7327097505668935,0.7943970936324907,0.7325138519767651,0.7946874446608819,0.7327097505668935,0.7946528516074597,0.7326404693581896,0.7942657220583198,0.7322210488834107,0.7946874446608819,0.7327097505668935,0.7946874446608819,0.7327097505668935,0.7943257786613032,0.7323178012833185,0.7946874446608819,0.7327097505668935,0.7946645350747599,0.7326255540541254
28,auto,10,1,distance,0.8133876394545777,0.7534013605442177,0.8138436661578707,0.7537712092848758,0.8133876394545777,0.7534013605442177,0.8148372488964799,0.7543652087774483,0.8142264363098626,0.7539116088812492,0.8133876394545777,0.7534013605442177,0.8133876394545777,0.7534013605442177,0.8133665698510545,0.7533934353945693,0.8133876394545777,0.7534013605442177,0.8134444571520786,0.753435438687706
29,brute,10,2,distance,0.8133876394545777,0.7548185941043084,0.8131185402059617,0.7545982705818771,0.8133876394545777,0.7548185941043084,0.8136411865574767,0.7548067910584637,0.813474085774122,0.7545714913407917,0.8133876394545777,0.7548185941043084,0.8133876394545777,0.7548185941043084,0.8132223260955572,0.7545843341118141,0.8133876394545777,0.7548185941043084,0.8134405790897877,0.7548121465815791
30,brute,10,3,distance,0.8133876394545777,0.7505668934240363,0.8138436661578707,0.7506304539043149,0.8133876394545777,0.7505668934240363,0.8148372488964799,0.7511116975407109,0.8142264363098626,0.7508529579878587,0.8133876394545777,0.7505668934240363,0.8133876394545777,0.7505668934240363,0.8133665698510545,0.7505244816494904,0.8133876394545777,0.7505668934240363,0.8134444571520786,0.7506222131299658
31,ball_tree,3,3,distance,0.7931290950947406,0.7247732426303855,0.7928319645167266,0.7245671169636141,0.7931290950947406,0.7247732426303855,0.7933381362694417,0.724888430502993,0.793128510165132,0.7246865196451335,0.7931290950947406,0.7247732426303855,0.7931290950947406,0.7247732426303855,0.7929279491668448,0.7246057729527144,0.7931290950947406,0.7247732426303855,0.7931814387509771,0.7248098164680377
32,auto,5,3,distance,0.8060563130865946,0.7446145124716553,0.805741753467418,0.7443889528489378,0.8060563130865946,0.7446145124716553,0.8061469179478674,0.7446488367620689,0.8059294116852483,0.7444434294331058,0.8060563130865946,0.7446145124716553,0.8060563130865946,0.7446145124716553,0.8058199925902203,0.7444132552082767,0.8060563130865946,0.7446145124716553,0.8060860630780164,0.7446287427832073
33,kd_tree,5,1,distance,0.8037542057729768,0.7420634920634921,0.8034660246080632,0.7418818942059338,0.8037542057729768,0.7420634920634921,0.8039693205322983,0.7422137799456093,0.8037811836897338,0.7420350112435736,0.8037542057729768,0.7420634920634921,0.8037542057729768,0.7420634920634921,0.8035668478032392,0.7419240743211849,0.8037542057729768,0.7420634920634921,0.8038051276064948,0.7421042972563624
34,brute,10,1,uniform,0.7699663538161856,0.7437641723356009,0.7698413442707074,0.743739328537864,0.7699663538161856,0.7437641723356009,0.7705380055065633,0.7441782356312184,0.7702448526489453,0.743958850868494,0.7699663538161856,0.7437641723356009,0.7699663538161856,0.7437641723356009,0.7698428716206193,0.7436995967741935,0.7699663538161856,0.7437641723356009,0.7700522626831316,0.7438218290868575
