,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
38,squared_error,2.0,exponential,15.0,sqrt,30.0,2,2,100,False,0.8033646183814415,0.7644557823129252,0.804286961299634,0.7650951898163794,0.8033646183814415,0.7644557823129252,0.803909932808563,0.7648692658318256,0.801943416184306,0.7634161357424698,0.8033646183814415,0.7644557823129252,0.8033646183814415,0.7644557823129252,0.8024597165596761,0.7636733484743754,0.8033646183814415,0.7644557823129252,0.8029848532003552,0.7640819099861305
39,friedman_mse,0.5,exponential,15.0,0.7,30.0,1,2,100,True,0.8159022489817602,0.7791950113378685,0.815599905368955,0.778992806310687,0.8159022489817602,0.7791950113378685,0.8160248725002618,0.7792160743615331,0.8158407172883826,0.7790381252197329,0.8159022489817602,0.7791950113378685,0.8159022489817602,0.7791950113378685,0.8156940415551128,0.7790138979493001,0.8159022489817602,0.7791950113378685,0.8159373524467377,0.7792039773472036
40,squared_error,1.0,exponential,15.0,sqrt,30.0,2,2,50,True,0.8125022135647246,0.7840136054421769,0.8122265588387492,0.7839443504418124,0.8125022135647246,0.7840136054421769,0.8127386209679063,0.7843521854439589,0.8125691796657,0.7841935071940537,0.8125022135647246,0.7840136054421769,0.8125022135647246,0.7840136054421769,0.8123309302024352,0.7839468807211157,0.8125022135647246,0.7840136054421769,0.8125536186535243,0.7840609584700267
41,friedman_mse,1.0,exponential,15.0,sqrt,30.0,2,10,50,False,0.8127855498494776,0.7851473922902494,0.8124782908224837,0.7849512478711651,0.8127855498494776,0.7851473922902494,0.8128388731091887,0.7851550842282526,0.81261052967327,0.7849703125266374,0.8127855498494776,0.7851473922902494,0.8127855498494776,0.7851473922902494,0.8125375338893981,0.7849605273992342,0.8127855498494776,0.7851473922902494,0.8128053524869912,0.7851509858458458
42,squared_error,1.0,exponential,20.0,,10.0,1,10,100,False,0.8104834425358598,0.786281179138322,0.8102284459501851,0.7861182712642082,0.8104834425358598,0.786281179138322,0.8107775551026378,0.7864380533874685,0.8106044123345065,0.786309698615614,0.8104834425358598,0.786281179138322,0.8104834425358598,0.786281179138322,0.8103265714260668,0.786171230727283,0.8104834425358598,0.786281179138322,0.8105408202693678,0.7863169123719097
43,squared_error,2.0,exponential,20.0,0.5,30.0,4,5,50,True,0.8012041792102002,0.7647392290249433,0.8016047063281203,0.7649082135708538,0.8012041792102002,0.7647392290249433,0.8014114985970313,0.7648316650158687,0.8000680399462229,0.7639811289377838,0.8012041792102002,0.7647392290249433,0.8012041792102002,0.7647392290249433,0.8004774786062582,0.7641917093121502,0.8012041792102002,0.7647392290249433,0.8009504310533072,0.7645331039565977
44,squared_error,1.0,exponential,,sqrt,,1,2,100,True,0.817283513369931,0.7675736961451247,0.8170097420345392,0.7673674346064128,0.817283513369931,0.7675736961451247,0.8172735234515239,0.76755922165118,0.8169719391215324,0.7673295941602252,0.817283513369931,0.7675736961451247,0.817283513369931,0.7675736961451247,0.8169903867865642,0.7673475256789799,0.817283513369931,0.7675736961451247,0.8172780658847533,0.7675654717645376
45,friedman_mse,1.0,exponential,5.0,sqrt,,2,5,200,True,0.8164335045156721,0.7729591836734694,0.8161852681651832,0.7727926133547229,0.8164335045156721,0.7729591836734694,0.8164046260239021,0.7729187308817739,0.8160481683441649,0.7726091363243501,0.8164335045156721,0.7729591836734694,0.8164335045156721,0.7729591836734694,0.8161112384650321,0.7726828809197166,0.8164335045156721,0.7729591836734694,0.8164136014516308,0.7729209954879913
46,friedman_mse,1.0,exponential,15.0,0.5,10.0,4,10,50,False,0.8047812998052063,0.7910997732426304,0.8044885960034363,0.7909668511128481,0.8047812998052063,0.7910997732426304,0.8047681899019401,0.7913190947567711,0.8044434421144318,0.7911923141625926,0.8047812998052063,0.7910997732426304,0.8047812998052063,0.7910997732426304,0.8044653341324016,0.7910102958215097,0.8047812998052063,0.7910997732426304,0.8047740618250364,0.7911402219398493
47,friedman_mse,1.0,exponential,15.0,log2,,4,2,50,True,0.817283513369931,0.7658730158730159,0.8171154560502787,0.7657435183977508,0.817283513369931,0.7658730158730159,0.8172431980430781,0.7658282513136652,0.816757379894673,0.7654228024370135,0.817283513369931,0.7658730158730159,0.817283513369931,0.7658730158730159,0.8169048692140305,0.7655347712592049,0.817283513369931,0.7658730158730159,0.8172319068845083,0.7658023378940105
