,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
33,squared_error,2.0,exponential,5.0,0.5,30.0,2,2,50,True,0.7661538461538462,0.5581395348837209,0.7680517188459177,0.5633484162895928,0.7661538461538462,0.5581395348837209,0.7675900741370354,0.5639271808902452,0.7647805654513757,0.5606060606060606,0.7661538461538462,0.5581395348837209,0.7661538461538462,0.5581395348837209,0.764976783131613,0.5542825968357883,0.7661538461538462,0.5581395348837209,0.7654373730098782,0.5533183623238052
34,squared_error,0.5,exponential,5.0,0.7,,2,5,50,True,0.7692307692307693,0.627906976744186,0.7696011265890234,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7694562041444891,0.6411498708010336,0.7684567573713332,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7686701022122255,0.6228070175438596,0.7692307692307693,0.627906976744186,0.7689854774101563,0.6217870257037944
35,squared_error,2.0,exponential,15.0,sqrt,10.0,1,10,50,False,0.76,0.627906976744186,0.7598158114151444,0.6400462962962963,0.76,0.627906976744186,0.76,0.6411498708010336,0.7598158114151444,0.6309523809523809,0.76,0.627906976744186,0.76,0.627906976744186,0.7598158114151444,0.6228070175438596,0.76,0.627906976744186,0.76,0.6217870257037944
36,friedman_mse,2.0,exponential,15.0,0.5,30.0,2,2,50,False,0.7661538461538462,0.6046511627906976,0.7770200207386138,0.6190476190476191,0.7661538461538462,0.6046511627906976,0.7756803553788478,0.6201550387596899,0.763245660577579,0.6082251082251082,0.7661538461538462,0.6046511627906976,0.7661538461538462,0.6046511627906976,0.7623720464865698,0.5968008825151683,0.7661538461538462,0.6046511627906976,0.7632021976330451,0.5954925024692467
37,squared_error,0.5,log_loss,5.0,log2,,2,5,200,False,0.7692307692307693,0.6511627906976745,0.772936489518063,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7722268835056024,0.6717054263565891,0.7674334874554688,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.76750507911981,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.768059765226904,0.6430816198258059
38,squared_error,2.0,exponential,15.0,sqrt,30.0,2,2,100,False,0.7661538461538462,0.627906976744186,0.7836321952018341,0.6502463054187192,0.7661538461538462,0.627906976744186,0.7818647217025994,0.6517355939970214,0.7625634806336694,0.6320346320346321,0.7661538461538462,0.627906976744186,0.7661538461538462,0.627906976744186,0.7607145625048438,0.6177777777777778,0.7661538461538462,0.627906976744186,0.7617136146036402,0.6163307493540052
39,friedman_mse,0.5,exponential,15.0,0.7,30.0,1,2,100,True,0.7692307692307693,0.6511627906976745,0.7758067042606516,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7748035955272798,0.6717054263565891,0.7669218524975365,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7666771961060219,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.767353141933161,0.6430816198258059
40,squared_error,1.0,exponential,15.0,sqrt,30.0,2,2,50,True,0.7692307692307693,0.6511627906976745,0.7738002795465134,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7729938953731468,0.6717054263565891,0.7672629424694914,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.767247553115302,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7678425179499421,0.6430816198258059
41,friedman_mse,1.0,exponential,15.0,sqrt,30.0,2,10,50,False,0.7692307692307693,0.627906976744186,0.7690703670003034,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7692016051888664,0.6411498708010336,0.7689683923292656,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7690120824449183,0.6228070175438596,0.7692307692307693,0.627906976744186,0.7692089005521842,0.6217870257037944
42,squared_error,1.0,exponential,20.0,,10.0,1,10,100,False,0.7692307692307693,0.627906976744186,0.7758067042606516,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7748035955272798,0.6411498708010336,0.7669218524975365,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7666771961060219,0.6228070175438596,0.7692307692307693,0.627906976744186,0.767353141933161,0.6217870257037944
43,squared_error,2.0,exponential,20.0,0.5,30.0,4,5,50,True,0.7661538461538462,0.6046511627906976,0.7720950222708447,0.6190476190476191,0.7661538461538462,0.6046511627906976,0.7711569418313187,0.6201550387596899,0.7639278405214887,0.6082251082251082,0.7661538461538462,0.6046511627906976,0.7661538461538462,0.6046511627906976,0.7637177623019821,0.5968008825151683,0.7661538461538462,0.6046511627906976,0.7643821488070359,0.5954925024692467
44,squared_error,1.0,exponential,,sqrt,,1,2,100,True,0.7692307692307693,0.627906976744186,0.7758067042606516,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7748035955272798,0.6411498708010336,0.7669218524975365,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7666771961060219,0.6228070175438596,0.7692307692307693,0.627906976744186,0.767353141933161,0.6217870257037944
45,friedman_mse,1.0,exponential,5.0,sqrt,,2,5,200,True,0.7692307692307693,0.6046511627906976,0.7691650853889943,0.6119909502262444,0.7692307692307693,0.6046511627906976,0.7692044956940592,0.6128064821635273,0.7687978473432882,0.6071428571428572,0.7692307692307693,0.6046511627906976,0.7692307692307693,0.6046511627906976,0.7689157288990434,0.6012002182214948,0.7692307692307693,0.6046511627906976,0.7691520091478378,0.6003374820791941
46,friedman_mse,1.0,exponential,15.0,0.5,10.0,4,10,50,False,0.7692307692307693,0.5813953488372093,0.7721631205673759,0.5855555555555556,0.7692307692307693,0.5813953488372093,0.7715493726132024,0.5861498708010336,0.7676040324414461,0.5833333333333333,0.7692307692307693,0.5813953488372093,0.7692307692307693,0.5813953488372093,0.7677443329617242,0.5793478260869566,0.7692307692307693,0.5813953488372093,0.7682588685933167,0.578665318503539
47,friedman_mse,1.0,exponential,15.0,log2,,4,2,50,True,0.7692307692307693,0.627906976744186,0.7758067042606516,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7748035955272798,0.6411498708010336,0.7669218524975365,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7666771961060219,0.6228070175438596,0.7692307692307693,0.627906976744186,0.767353141933161,0.6217870257037944
48,squared_error,2.0,log_loss,20.0,,30.0,2,10,50,False,0.6523076923076923,0.6744186046511628,0.6543859649122807,0.6898148148148149,0.6523076923076923,0.6744186046511628,0.6540458839406208,0.6912144702842377,0.6500795876601229,0.6774891774891775,0.6523076923076923,0.6744186046511628,0.6523076923076923,0.6744186046511628,0.6489039301727517,0.6699561403508771,0.6523076923076923,0.6744186046511628,0.6498612382732039,0.66906364749082
49,squared_error,0.5,log_loss,15.0,,30.0,2,5,100,False,0.7692307692307693,0.5813953488372093,0.7690573615215579,0.5855555555555556,0.7692307692307693,0.5813953488372093,0.769280314290544,0.5861498708010336,0.7691389373152429,0.5833333333333333,0.7692307692307693,0.5813953488372093,0.7692307692307693,0.5813953488372093,0.7690908574189331,0.5793478260869566,0.7692307692307693,0.5813953488372093,0.7692482582072487,0.578665318503539
50,squared_error,2.0,log_loss,15.0,,10.0,1,5,100,False,0.5692307692307692,0.5348837209302325,0.5763509825327511,0.549731182795699,0.5692307692307692,0.5348837209302325,0.5758691635875042,0.5505126281570393,0.5636132797695748,0.54004329004329,0.5692307692307692,0.5348837209302325,0.5692307692307692,0.5348837209302325,0.5476417720512209,0.5135746606334841,0.5692307692307692,0.5348837209302325,0.5503784054965158,0.5112069872671788
51,friedman_mse,1.0,exponential,20.0,0.7,,2,2,100,False,0.7692307692307693,0.627906976744186,0.7758067042606516,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7748035955272798,0.6411498708010336,0.7669218524975365,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7666771961060219,0.6228070175438596,0.7692307692307693,0.627906976744186,0.767353141933161,0.6217870257037944
52,squared_error,2.0,exponential,20.0,,10.0,4,2,50,False,0.7569230769230769,0.5581395348837209,0.7579492471145761,0.5584415584415584,0.7569230769230769,0.5581395348837209,0.7576513267363989,0.5587435819993959,0.755798529523232,0.5584415584415584,0.7569230769230769,0.5581395348837209,0.7569230769230769,0.5581395348837209,0.7559990496555001,0.5581395348837209,0.7569230769230769,0.5581395348837209,0.7564148619259097,0.5581395348837209
