,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,random_state,splitter,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
40,entropy,,0.7,10.0,2,10,23,best,0.7569230769230769,0.6511627906976745,0.7666229221347332,0.6702380952380952,0.7569230769230769,0.6511627906976745,0.7653933642910021,0.6717054263565891,0.754093079663458,0.6547619047619048,0.7569230769230769,0.6511627906976745,0.7569230769230769,0.6511627906976745,0.7531843306897381,0.6442360728075014,0.7569230769230769,0.6511627906976745,0.7540255485922394,0.6430816198258059
41,entropy,20.0,0.7,10.0,2,2,23,best,0.7569230769230769,0.6511627906976745,0.7666229221347332,0.6702380952380952,0.7569230769230769,0.6511627906976745,0.7653933642910021,0.6717054263565891,0.754093079663458,0.6547619047619048,0.7569230769230769,0.6511627906976745,0.7569230769230769,0.6511627906976745,0.7531843306897381,0.6442360728075014,0.7569230769230769,0.6511627906976745,0.7540255485922394,0.6430816198258059
42,gini,15.0,0.7,30.0,2,5,23,random,0.7630769230769231,0.6046511627906976,0.7641595964228387,0.6074561403508771,0.7630769230769231,0.6046511627906976,0.7638452719030567,0.6080171358629131,0.7619570984613052,0.606060606060606,0.7630769230769231,0.6046511627906976,0.7630769230769231,0.6046511627906976,0.762176288904728,0.6037940379403794,0.7630769230769231,0.6046511627906976,0.7625815742822158,0.6033654755152202
43,gini,5.0,0.5,30.0,1,2,23,best,0.7661538461538462,0.5813953488372093,0.7694015444015444,0.5855555555555556,0.7661538461538462,0.5813953488372093,0.7687520047520047,0.5861498708010336,0.7644394754794208,0.5833333333333333,0.7661538461538462,0.5813953488372093,0.7661538461538462,0.5813953488372093,0.7645286760219646,0.5793478260869566,0.7661538461538462,0.5813953488372093,0.7650703993992585,0.578665318503539
44,gini,5.0,sqrt,,4,2,23,random,0.7169230769230769,0.627906976744186,0.7276104336590488,0.6502463054187192,0.7169230769230769,0.627906976744186,0.726422949577274,0.6517355939970214,0.7136360191010385,0.6320346320346321,0.7169230769230769,0.627906976744186,0.7169230769230769,0.627906976744186,0.7113899613899614,0.6177777777777778,0.7169230769230769,0.627906976744186,0.7124965844965845,0.6163307493540052
45,gini,5.0,log2,10.0,2,2,23,random,0.7107692307692308,0.627906976744186,0.7149527232945221,0.6400462962962963,0.7107692307692308,0.627906976744186,0.7142921718431603,0.6411498708010336,0.7085007200788297,0.6309523809523809,0.7107692307692308,0.627906976744186,0.7107692307692308,0.627906976744186,0.7077561796892937,0.6228070175438596,0.7107692307692308,0.627906976744186,0.7085779208929128,0.6217870257037944
46,entropy,15.0,log2,,4,10,23,random,0.7292307692307692,0.6976744186046512,0.7291334396597555,0.7017543859649122,0.7292307692307692,0.6976744186046512,0.7291849670797039,0.7025703794369644,0.7286818767528235,0.699134199134199,0.7292307692307692,0.6976744186046512,0.7292307692307692,0.6976744186046512,0.7287968441814596,0.6970189701897019,0.7292307692307692,0.6976744186046512,0.7290972538309816,0.6966912459822273
47,gini,,log2,30.0,4,5,23,random,0.72,0.627906976744186,0.721820809248555,0.6277056277056277,0.72,0.627906976744186,0.7226011560693641,0.627906976744186,0.7210642007124991,0.6277056277056277,0.72,0.627906976744186,0.7200000000000001,0.627906976744186,0.7199045355103277,0.6277056277056277,0.72,0.627906976744186,0.7197613387758195,0.627906976744186
48,entropy,,,30.0,4,2,23,best,0.7630769230769231,0.6744186046511628,0.7629715194667475,0.6898148148148149,0.7630769230769231,0.6744186046511628,0.7632877302972743,0.6912144702842377,0.7631509133631471,0.6774891774891775,0.7630769230769231,0.6744186046511628,0.7630769230769231,0.6744186046511628,0.7629961454318158,0.6699561403508771,0.7630769230769231,0.6744186046511628,0.7631173118994767,0.66906364749082
49,entropy,,sqrt,,4,5,23,random,0.7476923076923077,0.627906976744186,0.7493540051679586,0.6293478260869565,0.7476923076923077,0.627906976744186,0.750141125024846,0.6298281092012133,0.7486924884408398,0.6287878787878788,0.7476923076923077,0.627906976744186,0.7476923076923077,0.627906976744186,0.7476325757575757,0.6277056277056277,0.7476923076923077,0.627906976744186,0.7475250582750582,0.6275042786670694
