,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
55,logistic,0.0001,100,adaptive,500,23,lbfgs,0.8066229856561006,0.7859977324263039,0.8063261366875341,0.785828935512936,0.8066229856561006,0.7859977324263039,0.8066198079686584,0.7859687204568188,0.8063158383981501,0.7857106096168822,0.8066229856561006,0.7859977324263039,0.8066229856561006,0.7859977324263039,0.8063209509882256,0.7857621131343402,0.8066229856561006,0.7859977324263039,0.8066213603574393,0.7859755801851791
56,tanh,0.001,20,adaptive,100,23,sgd,0.7333451390118647,0.7426303854875284,0.7333211534167738,0.74291723441618,0.7333451390118647,0.7426303854875284,0.7340811541297935,0.7434803082390886,0.7336813000416249,0.7430797581256572,0.7333451390118647,0.7426303854875284,0.7333451390118647,0.7426303854875284,0.7332356566259475,0.7426164066710654,0.7333451390118647,0.7426303854875284,0.7334479223007414,0.7426733972304913
57,relu,0.01,100,constant,100,23,sgd,0.7297326013812644,0.7363945578231292,0.7294695150898911,0.7363091025457078,0.7297326013812644,0.7363945578231292,0.7296193675280693,0.7363539454140576,0.7287312415641662,0.7357472304397039,0.7297326013812644,0.7363945578231292,0.7297326013812644,0.7363945578231292,0.7289387511800658,0.7358913273275168,0.7297326013812644,0.7363945578231292,0.7295149160185013,0.7362377067595617
58,relu,0.001,20,adaptive,200,23,adam,0.7933061802727112,0.7950680272108843,0.7984343092915969,0.8008286429018137,0.7933061802727112,0.7950680272108843,0.8004042071377847,0.8023252734489669,0.7957705135837274,0.7970735185936317,0.7933061802727112,0.7950680272108843,0.7933061802727112,0.7950680272108843,0.7931010705812886,0.7946919277014465,0.7933061802727112,0.7950680272108843,0.7928452025860271,0.7944279108272716
59,logistic,0.01,100,adaptive,500,23,adam,0.7625996104126085,0.7650226757369615,0.7636474064036181,0.7660458233369967,0.7625996104126085,0.7650226757369615,0.7632748492525986,0.7657268420263974,0.7608325939227343,0.7638130623596162,0.7625996104126085,0.7650226757369615,0.7625996104126085,0.7650226757369615,0.7612612989168821,0.7640800980555462,0.7625996104126085,0.7650226757369615,0.761963374342029,0.7645281394646495
60,identity,0.01,20,adaptive,100,23,sgd,0.7329201345847353,0.7420634920634921,0.7328988534003451,0.7424023582850998,0.7329201345847353,0.7420634920634921,0.7336601706096582,0.7429817102123647,0.733258425421461,0.7425464482948398,0.7329201345847353,0.7420634920634921,0.7329201345847353,0.7420634920634921,0.7328112435045563,0.7420534616713401,0.7329201345847353,0.7420634920634921,0.7330231035184483,0.7421017899244361
61,relu,0.0001,20,constant,500,23,lbfgs,0.7993624933593059,0.7998866213151927,0.7991101298392336,0.7997595887295967,0.7993624933593059,0.7998866213151927,0.799675526089254,0.8001139427841539,0.7994802125401947,0.7999956254440899,0.7993624933593059,0.7998866213151927,0.7993624933593059,0.7998866213151927,0.7992004856017909,0.7998032407407407,0.7993624933593059,0.7998866213151927,0.7994245087976563,0.7999259954753506
62,tanh,0.0001,20,constant,500,23,adam,0.7996458296440588,0.7868480725623582,0.800842996226037,0.7875561649881208,0.7996458296440588,0.7868480725623582,0.8003894062911501,0.7872973449980146,0.7980698046621321,0.7858712780490252,0.7996458296440588,0.7868480725623582,0.7996458296440588,0.7868480725623582,0.7986171283905874,0.7861745803774789,0.7996458296440588,0.7868480725623582,0.799182455293511,0.7865351367996871
63,tanh,0.001,500,invscaling,100,23,sgd,0.6056667256950593,0.6009070294784581,0.6169546334045964,0.6125415907082064,0.6056667256950593,0.6009070294784581,0.61586200098338,0.6116568966692155,0.5978488066232536,0.5950570091482901,0.6056667256950593,0.6009070294784581,0.6056667256950593,0.6009070294784581,0.5851230653605834,0.5820173937277164,0.6056667256950593,0.6009070294784581,0.5887491865305554,0.5846871289138211
64,relu,0.001,20,constant,100,23,lbfgs,0.7786789445723393,0.7871315192743764,0.7783486757648554,0.7869362368921098,0.7786789445723393,0.7871315192743764,0.7786511267206768,0.7871432362173124,0.7782659249565278,0.7869647561973143,0.7786789445723393,0.7871315192743764,0.7786789445723393,0.7871315192743764,0.778304750605352,0.7869499263238093,0.7786789445723393,0.7871315192743764,0.7786624929410322,0.7871368083894416
65,logistic,0.01,500,adaptive,500,23,adam,0.7486098813529307,0.751984126984127,0.7726672309925116,0.7745218657227677,0.7486098813529307,0.751984126984127,0.7698484670463631,0.7723734841523578,0.7424004932432524,0.7474724877423978,0.7486098813529307,0.751984126984127,0.7486098813529307,0.751984126984127,0.7394752282177004,0.7443669429938282,0.7486098813529307,0.751984126984127,0.741391311124258,0.7456927582696438
