,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
58,identity,0.01,32,constant,100,23,adam,0.7446153846153846,0.6744186046511628,0.7513513513513514,0.6742424242424242,0.7446153846153846,0.6744186046511628,0.7526985446985447,0.6744186046511628,0.7467217463806564,0.6742424242424242,0.7446153846153846,0.6744186046511628,0.7446153846153846,0.6744186046511628,0.7438295932612227,0.6742424242424242,0.7446153846153846,0.6744186046511628,0.7434366975841415,0.6744186046511628
59,tanh,0.01,64,invscaling,200,23,adam,0.7630769230769231,0.627906976744186,0.7629715194667475,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7632877302972743,0.6411498708010336,0.7631509133631471,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7629961454318158,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7631173118994767,0.6217870257037944
60,relu,0.001,32,invscaling,100,23,adam,0.7476923076923077,0.6511627906976745,0.7521072796934867,0.6515151515151515,0.7476923076923077,0.6511627906976745,0.7532425582080755,0.6518675123326286,0.7493746683847495,0.6515151515151515,0.7476923076923077,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7472879684418146,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7470080412683963,0.6511627906976745
61,identity,0.001,64,constant,100,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
62,tanh,0.01,32,adaptive,100,23,adam,0.7476923076923077,0.6744186046511628,0.7539700894233734,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7552840437391779,0.6744186046511628,0.7497157583567043,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.7470000759474443,0.6742424242424242,0.7476923076923077,0.6744186046511628,0.7466336003178108,0.6744186046511628
63,relu,0.001,32,constant,200,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
64,identity,0.01,32,adaptive,200,23,adam,0.76,0.627906976744186,0.7598484848484848,0.6400462962962963,0.76,0.627906976744186,0.7601212121212121,0.6411498708010336,0.7599863564011218,0.6309523809523809,0.76,0.627906976744186,0.76,0.627906976744186,0.7598886110479655,0.6228070175438596,0.76,0.627906976744186,0.760031825414867,0.6217870257037944
65,tanh,0.01,32,constant,200,23,adam,0.76,0.627906976744186,0.7598484848484848,0.6400462962962963,0.76,0.627906976744186,0.7601212121212121,0.6411498708010336,0.7599863564011218,0.6309523809523809,0.76,0.627906976744186,0.76,0.627906976744186,0.7598886110479655,0.6228070175438596,0.76,0.627906976744186,0.760031825414867,0.6217870257037944
66,tanh,0.001,64,invscaling,200,23,adam,0.7630769230769231,0.627906976744186,0.7629715194667475,0.6400462962962963,0.7630769230769231,0.627906976744186,0.7632877302972743,0.6411498708010336,0.7631509133631471,0.6309523809523809,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.7629961454318158,0.6228070175438596,0.7630769230769231,0.627906976744186,0.7631173118994767,0.6217870257037944
67,identity,0.001,64,invscaling,100,23,adam,0.7630769230769231,0.627906976744186,0.7776494895478853,0.6502463054187192,0.7630769230769231,0.627906976744186,0.7760693317377809,0.6517355939970214,0.7597400136435989,0.6320346320346321,0.7630769230769231,0.627906976744186,0.7630769230769231,0.627906976744186,0.758233583553121,0.6177777777777778,0.7630769230769231,0.627906976744186,0.7591811934599518,0.6163307493540052
