,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
25,gini,,log2,30.0,1,2,50,23,0.770958030812821,0.7757936507936508,0.770867236718346,0.7758871264264012,0.770958030812821,0.7757936507936508,0.7709200372693542,0.7758403886100261,0.7700482334508914,0.7751393022647655,0.770958030812821,0.7757936507936508,0.770958030812821,0.7757936507936508,0.7703028174182064,0.7753373323663006,0.770958030812821,0.7757936507936508,0.7707846686480655,0.7756415446512007
26,entropy,5.0,log2,30.0,4,10,250,23,0.7709226137772268,0.7732426303854876,0.7710484464962001,0.7734990176151215,0.7709226137772268,0.7732426303854876,0.7709853879849748,0.7733867157707364,0.769799595707129,0.7724581176478913,0.7709226137772268,0.7732426303854876,0.7709226137772268,0.7732426303854876,0.7701270931069357,0.7726897127598195,0.7709226137772268,0.7732426303854876,0.7706582384551313,0.7730265476352264
27,gini,15.0,0.5,,1,5,10,23,0.8121834602443776,0.7874149659863946,0.8120335370224094,0.7873457995285407,0.8121834602443776,0.7874149659863946,0.8126959467959659,0.7877531131136803,0.8124909646577614,0.7875979409994638,0.8121834602443776,0.7874149659863946,0.8121834602443776,0.7874149659863946,0.8120744598552254,0.7873492920483423,0.8121834602443776,0.7874149659863946,0.8122522266663572,0.7874615732972705
28,gini,20.0,sqrt,10.0,1,5,50,23,0.7531786789445724,0.7658730158730159,0.7528327894462241,0.765714627901294,0.7531786789445724,0.7658730158730159,0.7531008477646505,0.7658265554013108,0.75257300214814,0.7654739461421403,0.7531786789445724,0.7658730158730159,0.7531786789445724,0.7658730158730159,0.7526783057100794,0.7655644227056249,0.7531786789445724,0.7658730158730159,0.7531152458022469,0.7658199764223705
29,entropy,5.0,log2,10.0,2,5,250,23,0.7448910926155481,0.7534013605442177,0.7455024150362477,0.7542579675057486,0.7448910926155481,0.7534013605442177,0.7452714247246444,0.7539861102065801,0.7432248928442582,0.7522068187103617,0.7448910926155481,0.7534013605442177,0.7448910926155481,0.7534013605442177,0.7435760333290793,0.7524387049150922,0.7448910926155481,0.7534013605442177,0.744297299772548,0.7529025299000346
30,entropy,5.0,log2,30.0,4,10,10,23,0.7582433150345316,0.7684240362811792,0.7587755643727871,0.7691278096945146,0.7582433150345316,0.7684240362811792,0.7585602179604831,0.7688824150174962,0.7567328902980404,0.7673709272804061,0.7582433150345316,0.7684240362811792,0.7582433150345316,0.7684240362811792,0.7571143310679543,0.7676395002917832,0.7582433150345316,0.7684240362811792,0.7577647431297383,0.7680451628033733
31,entropy,,sqrt,10.0,1,2,10,23,0.7462369399681247,0.7542517006802721,0.7462764690565964,0.7546068796068797,0.7462369399681247,0.7542517006802721,0.7462574669936944,0.7544684642898929,0.7450102975765343,0.7533221696382018,0.7462369399681247,0.7542517006802721,0.7462369399681247,0.7542517006802721,0.745304929720196,0.7535443982517855,0.7462369399681247,0.7542517006802721,0.7459100815732129,0.7539410863862807
32,entropy,,0.5,30.0,2,5,250,23,0.7770851779706038,0.7828798185941043,0.7769271329093672,0.7828740589491554,0.7770851779706038,0.7828798185941043,0.7770278060701434,0.7828773413274596,0.776300486758711,0.7823426840538109,0.7770851779706038,0.7828798185941043,0.7770851779706038,0.7828798185941043,0.7765159310177787,0.7825073470069699,0.7770851779706038,0.7828798185941043,0.7769589449621177,0.7827777715839305
33,entropy,20.0,,30.0,4,5,250,23,0.77361430848238,0.7840136054421769,0.7732778407427241,0.7838245271674248,0.77361430848238,0.7840136054421769,0.7735804706886109,0.7840003367913171,0.7731781378125475,0.7837843575530407,0.77361430848238,0.7840136054421769,0.77361430848238,0.7840136054421769,0.7732242454194389,0.7838034323992471,0.77361430848238,0.7840136054421769,0.7735936561255036,0.7840059627860704
34,gini,15.0,0.5,10.0,2,2,250,23,0.7640162918363733,0.7712585034013606,0.7637333163444433,0.7711580086580087,0.7640162918363733,0.7712585034013606,0.7639356502068226,0.7712214160555998,0.7633437657867228,0.770787584109683,0.7640162918363733,0.7712585034013606,0.7640162918363733,0.7712585034013606,0.7634915152823165,0.7709130540959277,0.7640162918363733,0.7712585034013606,0.7639290921232555,0.7711803360402771
35,entropy,20.0,sqrt,10.0,4,10,50,23,0.7579599787497786,0.7653061224489796,0.7580236724189318,0.7656012614167291,0.7579599787497786,0.7653061224489796,0.7579920960760212,0.7654780931860934,0.7568002131456331,0.7644632950634744,0.7579599787497786,0.7653061224489796,0.7579599787497786,0.7653061224489796,0.7571072107010252,0.7646936005846121,0.7579599787497786,0.7653061224489796,0.7576724944822968,0.7650543079047396
36,entropy,15.0,0.5,30.0,4,5,50,23,0.7792456171418453,0.7882653061224489,0.7789574016294365,0.7881065477224893,0.7792456171418453,0.7882653061224489,0.7791858726825182,0.7882340355285175,0.7787025083718124,0.7879631842521133,0.7792456171418453,0.7882653061224489,0.7792456171418453,0.7882653061224489,0.7788093160293134,0.7880241361778604,0.7792456171418453,0.7882653061224489,0.7791951676511618,0.7882389598259812
37,gini,15.0,log2,10.0,1,10,10,23,0.7356118292898884,0.7474489795918368,0.7356181131451262,0.7474322651470646,0.7356118292898884,0.7474489795918368,0.7363924237516343,0.7478751979335241,0.7359821439124387,0.7476555114418761,0.7356118292898884,0.7474489795918368,0.7356118292898884,0.7474489795918368,0.7355114702177707,0.7473875860180191,0.7356118292898884,0.7474489795918368,0.7357138306013681,0.7475059081784676
38,gini,15.0,0.5,30.0,2,2,250,23,0.7795289534265982,0.7859977324263039,0.7792425817144044,0.7858228126693292,0.7795289534265982,0.7859977324263039,0.7794689439587544,0.7859723408486785,0.7789834959574331,0.7857276575185911,0.7795289534265982,0.7859977324263039,0.7795289534265982,0.7859977324263039,0.7790918185123832,0.7857701081403965,0.7795289534265982,0.7859977324263039,0.7794777919358421,0.7859799183517545
39,gini,15.0,0.5,10.0,2,10,100,23,0.7625641933770143,0.7723922902494331,0.7622480578691984,0.7723071223786361,0.7625641933770143,0.7723922902494331,0.7624893478059966,0.772359609554825,0.761957692527565,0.7719053474764441,0.7625641933770143,0.7723922902494331,0.7625641933770143,0.7723922902494331,0.7620744554401524,0.7720384281168248,0.7625641933770143,0.7723922902494331,0.7624984362145317,0.7723082798150728
40,entropy,,0.7,10.0,2,10,50,23,0.7559057906853196,0.7644557823129252,0.7555873372956843,0.7643398268398268,0.7559057906853196,0.7644557823129252,0.7558207575264216,0.7644129892216626,0.7552472046520495,0.7639787164988627,0.7559057906853196,0.7644557823129252,0.7559057906853196,0.7644557823129252,0.7553784095574102,0.7641000594222005,0.7559057906853196,0.7644557823129252,0.7558245313505846,0.7643752902719583
