,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
10,entropy,15.0,0.5,30.0,1,5,50,23,0.7692307692307693,0.6511627906976745,0.7693418452652379,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7692892303015422,0.6717054263565891,0.7686273023573107,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.768801752838403,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7690775490906384,0.6430816198258059
11,gini,,sqrt,,1,5,250,23,0.7692307692307693,0.6511627906976745,0.7693418452652379,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7692892303015422,0.6717054263565891,0.7686273023573107,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.768801752838403,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7690775490906384,0.6430816198258059
12,gini,20.0,sqrt,30.0,1,10,100,23,0.7692307692307693,0.6511627906976745,0.7699435631482612,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7697059651757638,0.6717054263565891,0.7682862123853559,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7685207168023096,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7688757430165394,0.6430816198258059
13,entropy,15.0,0.7,10.0,2,5,250,23,0.7630769230769231,0.6511627906976745,0.7666511951728939,0.6702380952380952,0.7630769230769231,0.6511627906976745,0.7659667600906866,0.6717054263565891,0.7612749185173956,0.6547619047619048,0.7630769230769231,0.6511627906976745,0.7630769230769231,0.6511627906976745,0.7613052145630049,0.6442360728075014,0.7630769230769231,0.6511627906976745,0.7618746922996215,0.6430816198258059
14,gini,,sqrt,30.0,2,10,100,23,0.7692307692307693,0.6511627906976745,0.7696011265890234,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7694562041444891,0.6717054263565891,0.7684567573713332,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7686701022122255,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7689854774101563,0.6430816198258059
15,gini,5.0,0.5,,1,2,250,23,0.7692307692307693,0.6511627906976745,0.7738002795465134,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7729938953731468,0.6717054263565891,0.7672629424694914,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.767247553115302,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7678425179499421,0.6430816198258059
16,gini,5.0,sqrt,10.0,2,5,100,23,0.7507692307692307,0.6744186046511628,0.7527472527472527,0.6898148148148149,0.7507692307692307,0.6744186046511628,0.75229078613694,0.6912144702842377,0.749298870613204,0.6774891774891775,0.7507692307692307,0.6744186046511628,0.7507692307692307,0.6744186046511628,0.7494026597111825,0.6699561403508771,0.7507692307692307,0.6744186046511628,0.7499151238579506,0.66906364749082
17,entropy,20.0,log2,30.0,2,2,50,23,0.7692307692307693,0.6511627906976745,0.7691650853889943,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7692044956940592,0.6717054263565891,0.7687978473432882,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7689157288990434,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7691520091478378,0.6430816198258059
18,entropy,15.0,sqrt,30.0,4,5,100,23,0.7661538461538462,0.6511627906976745,0.7661578187893978,0.6702380952380952,0.7661538461538462,0.6511627906976745,0.7661557156293999,0.6717054263565891,0.7656332903812628,0.6547619047619048,0.7661538461538462,0.6511627906976745,0.7661538461538462,0.6511627906976745,0.7657790927021696,0.6442360728075014,0.7661538461538462,0.6511627906976745,0.7660385373994841,0.6430816198258059
19,gini,,sqrt,10.0,2,5,10,23,0.7476923076923077,0.6511627906976745,0.7476456292245766,0.660633484162896,0.7476923076923077,0.6511627906976745,0.7476703413545519,0.6616857834368095,0.7471575835670432,0.6536796536796536,0.7476923076923077,0.6511627906976745,0.7476923076923077,0.6511627906976745,0.7472879684418146,0.6481178396072014,0.7476923076923077,0.6511627906976745,0.7475678956152328,0.6473566018345831
20,entropy,20.0,0.5,30.0,2,10,250,23,0.7692307692307693,0.6511627906976745,0.7691650853889943,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7692044956940592,0.6717054263565891,0.7687978473432882,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7689157288990434,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7691520091478378,0.6430816198258059
21,entropy,15.0,log2,30.0,1,5,50,23,0.7692307692307693,0.6511627906976745,0.7691650853889943,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7692044956940592,0.6717054263565891,0.7687978473432882,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7689157288990434,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7691520091478378,0.6430816198258059
22,entropy,5.0,log2,,4,2,10,23,0.7323076923076923,0.6976744186046512,0.7345821769966081,0.7092760180995474,0.7323076923076923,0.6976744186046512,0.7341061220617188,0.7105650847100915,0.7306526188130069,0.7002164502164503,0.7323076923076923,0.6976744186046512,0.7323076923076923,0.6976744186046512,0.7305834262356001,0.6950354609929078,0.7323076923076923,0.6976744186046512,0.7311802875682474,0.694375721589972
23,gini,,0.7,10.0,1,2,250,23,0.7630769230769231,0.6511627906976745,0.7666511951728939,0.6702380952380952,0.7630769230769231,0.6511627906976745,0.7659667600906866,0.6717054263565891,0.7612749185173956,0.6547619047619048,0.7630769230769231,0.6511627906976745,0.7630769230769231,0.6511627906976745,0.7613052145630049,0.6442360728075014,0.7630769230769231,0.6511627906976745,0.7618746922996215,0.6430816198258059
